N,d,VFL TeamName,R,W,D,L,G,S,a,b,c,d,e,f,g,h,S,A,B,C,D,E,F,G,H,S,q,r,x,T,season
16,0,VFL Bern,6,0,0,6,3,:,14,-11,0,3,0,0,3,1,:,6,-5,0,3,0,0,3,2,:,8,-6,0,,Season 58793
1,0,VFL Madrid,7,6,0,1,13,:,5,8,18,3,2,0,1,3,:,2,1,6,4,4,0,0,10,:,3,7,12,,Season 58793
2,0,VFL Amsterdam,7,5,1,1,11,:,4,7,16,4,4,0,0,8,:,2,6,12,3,1,1,1,3,:,2,1,4,,Season 58793
3,0,VFL Lisbon,7,4,2,1,11,:,5,6,14,3,2,1,0,6,:,2,4,7,4,2,1,1,5,:,3,2,7,,Season 58793
4,0,VFL Brussels,7,4,2,1,10,:,6,4,14,4,3,1,0,6,:,1,5,10,3,1,1,1,4,:,5,-1,4,,Season 58793
5,0,VFL Rome,7,4,1,2,12,:,7,5,13,4,3,1,0,9,:,4,5,10,3,1,0,2,3,:,3,0,3,,Season 58793
6,0,VFL Paris,7,3,2,2,11,:,9,2,11,4,2,1,1,7,:,5,2,7,3,1,1,1,4,:,4,0,4,,Season 58793
7,-1,VFL Oslo,7,3,2,2,7,:,5,2,11,3,1,1,1,3,:,3,0,4,4,2,1,1,4,:,2,2,7,,Season 58793
8,1,VFL Stockholm,7,3,1,3,8,:,8,0,10,4,2,0,2,3,:,4,-1,6,3,1,1,1,5,:,4,1,4,,Season 58793
9,-1,VFL Berlin,7,3,1,3,5,:,7,-2,10,3,2,0,1,3,:,3,0,6,4,1,1,2,2,:,4,-2,4,,Season 58793
10,1,VFL Athens,7,3,0,4,10,:,11,-1,9,3,2,0,1,5,:,3,2,6,4,1,0,3,5,:,8,-3,3,,Season 58793
11,1,VFL Edinburgh,7,3,0,4,6,:,8,-2,9,3,2,0,1,2,:,1,1,6,4,1,0,3,4,:,7,-3,3,,Season 58793
12,1,VFL London,7,2,2,3,8,:,8,0,8,4,0,2,2,5,:,7,-2,2,3,2,0,1,3,:,1,2,6,,Season 58793
13,0,VFL Ankara,7,1,3,3,4,:,6,-2,6,4,1,2,1,4,:,2,2,5,3,0,1,2,0,:,4,-4,1,,Season 58793
14,0,VFL Vienna,7,1,1,5,4,:,9,-5,4,3,1,0,2,3,:,4,-1,3,4,0,1,3,1,:,5,-4,1,,Season 58793
15,-1,VFL Bern,7,1,0,6,4,:,14,-10,3,4,1,0,3,2,:,6,-4,3,3,0,0,3,2,:,8,-6,0,,Season 58793
16,1,VFL Copenhagen,7,1,0,6,2,:,14,-12,3,3,0,0,3,1,:,7,-6,0,4,1,0,3,1,:,7,-6,3,,Season 58793
1,0,VFL Madrid,8,7,0,1,16,:,5,11,21,4,3,0,1,6,:,2,4,9,4,4,0,0,10,:,3,7,12,,Season 58793
2,0,VFL Amsterdam,8,6,1,1,13,:,4,9,19,4,4,0,0,8,:,2,6,12,4,2,1,1,5,:,2,3,7,,Season 58793
3,-1,VFL Brussels,8,5,2,1,11,:,6,5,17,4,3,1,0,6,:,1,5,10,4,2,1,1,5,:,5,0,7,,Season 58793
4,-1,VFL Rome,8,5,1,2,13,:,7,6,16,4,3,1,0,9,:,4,5,10,4,2,0,2,4,:,3,1,6,,Season 58793
5,1,VFL Lisbon,8,4,2,2,11,:,7,4,14,4,2,1,1,6,:,4,2,7,4,2,1,1,5,:,3,2,7,,Season 58793
6,-1,VFL Berlin,8,4,1,3,8,:,8,0,13,4,3,0,1,6,:,4,2,9,4,1,1,2,2,:,4,-2,4,,Season 58793
7,0,VFL Oslo,8,3,3,2,8,:,6,2,12,4,1,2,1,4,:,4,0,5,4,2,1,1,4,:,2,2,7,,Season 58793
8,-1,VFL Athens,8,4,0,4,12,:,12,0,12,4,3,0,1,7,:,4,3,9,4,1,0,3,5,:,8,-3,3,,Season 58793
9,1,VFL Paris,8,3,2,3,12,:,11,1,11,4,2,1,1,7,:,5,2,7,4,1,1,2,5,:,6,-1,4,,Season 58793
10,1,VFL Stockholm,8,3,1,4,8,:,11,-3,10,4,2,0,2,3,:,4,-1,6,4,1,1,2,5,:,7,-2,4,,Season 58793
11,-1,VFL London,8,2,3,3,9,:,9,0,9,4,0,2,2,5,:,7,-2,2,4,2,1,1,4,:,2,2,7,,Season 58793
12,1,VFL Edinburgh,8,3,0,5,6,:,9,-3,9,4,2,0,2,2,:,2,0,6,4,1,0,3,4,:,7,-3,3,,Season 58793
13,-1,VFL Vienna,8,2,1,5,6,:,10,-4,7,4,2,0,2,5,:,5,0,6,4,0,1,3,1,:,5,-4,1,,Season 58793
14,1,VFL Ankara,8,1,3,4,5,:,8,-3,6,4,1,2,1,4,:,2,2,5,4,0,1,3,1,:,6,-5,1,,Season 58793
15,0,VFL Bern,8,1,0,7,5,:,17,-12,3,4,1,0,3,2,:,6,-4,3,4,0,0,4,3,:,11,-8,0,,Season 58793
16,0,VFL Copenhagen,8,1,0,7,2,:,15,-13,3,4,0,0,4,1,:,8,-7,0,4,1,0,3,1,:,7,-6,3,,Season 58793
1,0,VFL Madrid,9,7,1,1,17,:,6,11,22,4,3,0,1,6,:,2,4,9,5,4,1,0,11,:,4,7,13,,Season 58793
2,0,VFL Amsterdam,9,6,2,1,14,:,5,9,20,5,4,1,0,9,:,3,6,13,4,2,1,1,5,:,2,3,7,,Season 58793
3,0,VFL Brussels,9,6,2,1,12,:,6,6,20,5,4,1,0,7,:,1,6,13,4,2,1,1,5,:,5,0,7,,Season 58793
4,0,VFL Rome,9,6,1,2,14,:,7,7,19,5,4,1,0,10,:,4,6,13,4,2,0,2,4,:,3,1,6,,Season 58793
5,0,VFL Lisbon,9,4,2,3,11,:,8,3,14,4,2,1,1,6,:,4,2,7,5,2,1,2,5,:,4,1,7,,Season 58793
6,-1,VFL Oslo,9,3,4,2,8,:,6,2,13,4,1,2,1,4,:,4,0,5,5,2,2,1,4,:,2,2,8,,Season 58793
7,-1,VFL Stockholm,9,4,1,4,10,:,11,-1,13,5,3,0,2,5,:,4,1,9,4,1,1,2,5,:,7,-2,4,,Season 58793
8,1,VFL Berlin,9,4,1,4,8,:,9,-1,13,4,3,0,1,6,:,4,2,9,5,1,1,3,2,:,5,-3,4,,Season 58793
9,-1,VFL London,9,3,3,3,13,:,10,3,12,5,1,2,2,9,:,8,1,5,4,2,1,1,4,:,2,2,7,,Season 58793
10,1,VFL Athens,9,4,0,5,12,:,14,-2,12,4,3,0,1,7,:,4,3,9,5,1,0,4,5,:,10,-5,3,,Season 58793
11,-1,VFL Edinburgh,9,4,0,5,8,:,10,-2,12,4,2,0,2,2,:,2,0,6,5,2,0,3,6,:,8,-2,6,,Season 58793
12,1,VFL Paris,9,3,2,4,13,:,15,-2,11,4,2,1,1,7,:,5,2,7,5,1,1,3,6,:,10,-4,4,,Season 58793
13,0,VFL Vienna,9,2,1,6,6,:,12,-6,7,4,2,0,2,5,:,5,0,6,5,0,1,4,1,:,7,-6,1,,Season 58793
14,0,VFL Ankara,9,1,3,5,6,:,10,-4,6,5,1,2,2,5,:,4,1,5,4,0,1,3,1,:,6,-5,1,,Season 58793
15,-1,VFL Copenhagen,9,2,0,7,4,:,15,-11,6,5,1,0,4,3,:,8,-5,3,4,1,0,3,1,:,7,-6,3,,Season 58793
16,1,VFL Bern,9,1,1,7,5,:,17,-12,4,5,1,1,3,2,:,6,-4,4,4,0,0,4,3,:,11,-8,0,,Season 58793
1,0,VFL Madrid,10,8,1,1,23,:,6,17,25,5,4,0,1,12,:,2,10,12,5,4,1,0,11,:,4,7,13,,Season 58793
2,0,VFL Amsterdam,10,7,2,1,16,:,6,10,23,5,4,1,0,9,:,3,6,13,5,3,1,1,7,:,3,4,10,,Season 58793
3,0,VFL Brussels,10,6,2,2,12,:,12,0,20,5,4,1,0,7,:,1,6,13,5,2,1,2,5,:,11,-6,7,,Season 58793
4,0,VFL Rome,10,6,1,3,15,:,10,5,19,5,4,1,0,10,:,4,6,13,5,2,0,3,5,:,6,-1,6,,Season 58793
5,-1,VFL Oslo,10,4,4,2,11,:,7,4,16,5,2,2,1,7,:,5,2,8,5,2,2,1,4,:,2,2,8,,Season 58793
6,-1,VFL Stockholm,10,5,1,4,12,:,11,1,16,5,3,0,2,5,:,4,1,9,5,2,1,2,7,:,7,0,7,,Season 58793
7,-1,VFL Paris,10,4,2,4,16,:,15,1,14,5,3,1,1,10,:,5,5,10,5,1,1,3,6,:,10,-4,4,,Season 58793
8,1,VFL Lisbon,10,4,2,4,11,:,10,1,14,5,2,1,2,6,:,6,0,7,5,2,1,2,5,:,4,1,7,,Season 58793
9,1,VFL Berlin,10,4,2,4,9,:,10,-1,14,5,3,1,1,7,:,5,2,10,5,1,1,3,2,:,5,-3,4,,Season 58793
10,1,VFL London,10,3,4,3,14,:,11,3,13,5,1,2,2,9,:,8,1,5,5,2,2,1,5,:,3,2,8,,Season 58793
11,1,VFL Athens,10,4,0,6,13,:,16,-3,12,5,3,0,2,8,:,6,2,9,5,1,0,4,5,:,10,-5,3,,Season 58793
12,1,VFL Edinburgh,10,4,0,6,8,:,12,-4,12,5,2,0,3,2,:,4,-2,6,5,2,0,3,6,:,8,-2,6,,Season 58793
13,-1,VFL Copenhagen,10,3,0,7,6,:,15,-9,9,5,1,0,4,3,:,8,-5,3,5,2,0,3,3,:,7,-4,6,,Season 58793
14,1,VFL Vienna,10,2,2,6,7,:,13,-6,8,5,2,1,2,6,:,6,0,7,5,0,1,4,1,:,7,-6,1,,Season 58793
15,1,VFL Ankara,10,1,4,5,7,:,11,-4,7,5,1,2,2,5,:,4,1,5,5,0,2,3,2,:,7,-5,2,,Season 58793
16,0,VFL Bern,10,1,1,8,5,:,20,-15,4,5,1,1,3,2,:,6,-4,4,5,0,0,5,3,:,14,-11,0,,Season 58793
1,0,VFL Madrid,11,9,1,1,27,:,8,19,28,5,4,0,1,12,:,2,10,12,6,5,1,0,15,:,6,9,16,,Season 58793
2,0,VFL Amsterdam,11,8,2,1,18,:,6,12,26,6,5,1,0,11,:,3,8,16,5,3,1,1,7,:,3,4,10,,Season 58793
3,0,VFL Brussels,11,7,2,2,15,:,12,3,23,6,5,1,0,10,:,1,9,16,5,2,1,2,5,:,11,-6,7,,Season 58793
4,0,VFL Rome,11,7,1,3,16,:,10,6,22,6,5,1,0,11,:,4,7,16,5,2,0,3,5,:,6,-1,6,,Season 58793
5,-1,VFL Stockholm,11,6,1,4,13,:,11,2,19,6,4,0,2,6,:,4,2,12,5,2,1,2,7,:,7,0,7,,Season 58793
6,1,VFL Oslo,11,4,4,3,11,:,10,1,16,5,2,2,1,7,:,5,2,8,6,2,2,2,4,:,5,-1,8,,Season 58793
7,-1,VFL Lisbon,11,4,3,4,11,:,10,1,15,6,2,2,2,6,:,6,0,8,5,2,1,2,5,:,4,1,7,,Season 58793
8,-1,VFL London,11,3,5,3,15,:,12,3,14,5,1,2,2,9,:,8,1,5,6,2,3,1,6,:,4,2,9,,Season 58793
9,1,VFL Paris,11,4,2,5,16,:,16,0,14,5,3,1,1,10,:,5,5,10,6,1,1,4,6,:,11,-5,4,,Season 58793
10,1,VFL Berlin,11,4,2,5,9,:,11,-2,14,5,3,1,1,7,:,5,2,10,6,1,1,4,2,:,6,-4,4,,Season 58793
11,0,VFL Athens,11,4,0,7,13,:,19,-6,12,5,3,0,2,8,:,6,2,9,6,1,0,5,5,:,13,-8,3,,Season 58793
12,0,VFL Edinburgh,11,4,0,7,8,:,14,-6,12,5,2,0,3,2,:,4,-2,6,6,2,0,4,6,:,10,-4,6,,Season 58793
13,-1,VFL Ankara,11,2,4,5,10,:,11,-1,10,6,2,2,2,8,:,4,4,8,5,0,2,3,2,:,7,-5,2,,Season 58793
14,0,VFL Vienna,11,2,3,6,7,:,13,-6,9,5,2,1,2,6,:,6,0,7,6,0,2,4,1,:,7,-6,2,,Season 58793
15,1,VFL Copenhagen,11,3,0,8,8,:,19,-11,9,6,1,0,5,5,:,12,-7,3,5,2,0,3,3,:,7,-4,6,,Season 58793
16,0,VFL Bern,11,1,2,8,6,:,21,-15,5,6,1,2,3,3,:,7,-4,5,5,0,0,5,3,:,14,-11,0,,Season 58793
1,-1,VFL Amsterdam,12,9,2,1,22,:,6,16,29,6,5,1,0,11,:,3,8,16,6,4,1,1,11,:,3,8,13,,Season 58793
2,1,VFL Madrid,12,9,1,2,27,:,9,18,28,6,4,0,2,12,:,3,9,12,6,5,1,0,15,:,6,9,16,,Season 58793
3,0,VFL Brussels,12,7,3,2,16,:,13,3,24,6,5,1,0,10,:,1,9,16,6,2,2,2,6,:,12,-6,8,,Season 58793
4,0,VFL Rome,12,7,1,4,17,:,12,5,22,6,5,1,0,11,:,4,7,16,6,2,0,4,6,:,8,-2,6,,Season 58793
5,0,VFL Stockholm,12,6,2,4,14,:,12,2,20,6,4,0,2,6,:,4,2,12,6,2,2,2,8,:,8,0,8,,Season 58793
6,-1,VFL Lisbon,12,5,3,4,12,:,10,2,18,6,2,2,2,6,:,6,0,8,6,3,1,2,6,:,4,2,10,,Season 58793
7,-1,VFL London,12,4,5,3,17,:,13,4,17,6,2,2,2,11,:,9,2,8,6,2,3,1,6,:,4,2,9,,Season 58793
8,1,VFL Oslo,12,4,5,3,12,:,11,1,17,6,2,3,1,8,:,6,2,9,6,2,2,2,4,:,5,-1,8,,Season 58793
9,-1,VFL Athens,12,5,0,7,14,:,19,-5,15,6,4,0,2,9,:,6,3,12,6,1,0,5,5,:,13,-8,3,,Season 58793
10,1,VFL Paris,12,4,2,6,17,:,18,-1,14,6,3,1,2,11,:,7,4,10,6,1,1,4,6,:,11,-5,4,,Season 58793
11,1,VFL Berlin,12,4,2,6,9,:,15,-6,14,6,3,1,2,7,:,9,-2,10,6,1,1,4,2,:,6,-4,4,,Season 58793
12,-1,VFL Ankara,12,3,4,5,12,:,12,0,13,6,2,2,2,8,:,4,4,8,6,1,2,3,4,:,8,-4,5,,Season 58793
13,1,VFL Edinburgh,12,4,1,7,9,:,15,-6,13,6,2,1,3,3,:,5,-2,7,6,2,0,4,6,:,10,-4,6,,Season 58793
14,0,VFL Vienna,12,3,3,6,9,:,14,-5,12,6,3,1,2,8,:,7,1,10,6,0,2,4,1,:,7,-6,2,,Season 58793
15,0,VFL Copenhagen,12,3,0,9,8,:,20,-12,9,6,1,0,5,5,:,12,-7,3,6,2,0,4,3,:,8,-5,6,,Season 58793
16,0,VFL Bern,12,1,2,9,7,:,23,-16,5,6,1,2,3,3,:,7,-4,5,6,0,0,6,4,:,16,-12,0,,Season 58793
1,0,VFL Amsterdam,13,10,2,1,24,:,6,18,32,7,6,1,0,13,:,3,10,19,6,4,1,1,11,:,3,8,13,,Season 58793
2,0,VFL Madrid,13,10,1,2,31,:,9,22,31,7,5,0,2,16,:,3,13,15,6,5,1,0,15,:,6,9,16,,Season 58793
3,0,VFL Brussels,13,8,3,2,17,:,13,4,27,7,6,1,0,11,:,1,10,19,6,2,2,2,6,:,12,-6,8,,Season 58793
4,0,VFL Rome,13,8,1,4,20,:,13,7,25,7,6,1,0,14,:,5,9,19,6,2,0,4,6,:,8,-2,6,,Season 58793
5,-1,VFL Lisbon,13,6,3,4,13,:,10,3,21,7,3,2,2,7,:,6,1,11,6,3,1,2,6,:,4,2,10,,Season 58793
6,1,VFL Stockholm,13,6,3,4,15,:,13,2,21,7,4,1,2,7,:,5,2,13,6,2,2,2,8,:,8,0,8,,Season 58793
7,0,VFL London,13,5,5,3,21,:,13,8,20,6,2,2,2,11,:,9,2,8,7,3,3,1,10,:,4,6,12,,Season 58793
8,0,VFL Oslo,13,4,5,4,12,:,13,-1,17,6,2,3,1,8,:,6,2,9,7,2,2,3,4,:,7,-3,8,,Season 58793
9,-1,VFL Paris,13,4,3,6,18,:,19,-1,15,6,3,1,2,11,:,7,4,10,7,1,2,4,7,:,12,-5,5,,Season 58793
10,1,VFL Athens,13,5,0,8,14,:,20,-6,15,6,4,0,2,9,:,6,3,12,7,1,0,6,5,:,14,-9,3,,Season 58793
11,0,VFL Berlin,13,4,2,7,9,:,16,-7,14,6,3,1,2,7,:,9,-2,10,7,1,1,5,2,:,7,-5,4,,Season 58793
12,0,VFL Ankara,13,3,4,6,12,:,16,-4,13,7,2,2,3,8,:,8,0,8,6,1,2,3,4,:,8,-4,5,,Season 58793
13,0,VFL Edinburgh,13,4,1,8,9,:,17,-8,13,6,2,1,3,3,:,5,-2,7,7,2,0,5,6,:,12,-6,6,,Season 58793
14,0,VFL Vienna,13,3,3,7,9,:,18,-9,12,6,3,1,2,8,:,7,1,10,7,0,2,5,1,:,11,-10,2,,Season 58793
15,0,VFL Copenhagen,13,4,0,9,10,:,20,-10,12,7,2,0,5,7,:,12,-5,6,6,2,0,4,3,:,8,-5,6,,Season 58793
16,0,VFL Bern,13,1,2,10,8,:,26,-18,5,6,1,2,3,3,:,7,-4,5,7,0,0,7,5,:,19,-14,0,,Season 58793
1,-1,VFL Madrid,14,11,1,2,34,:,11,23,34,7,5,0,2,16,:,3,13,15,7,6,1,0,18,:,8,10,19,,Season 58793
2,1,VFL Amsterdam,14,10,2,2,24,:,9,15,32,7,6,1,0,13,:,3,10,19,7,4,1,2,11,:,6,5,13,,Season 58793
3,0,VFL Brussels,14,8,3,3,18,:,15,3,27,7,6,1,0,11,:,1,10,19,7,2,2,3,7,:,14,-7,8,,Season 58793
4,0,VFL Rome,14,8,2,4,20,:,13,7,26,7,6,1,0,14,:,5,9,19,7,2,1,4,6,:,8,-2,7,,Season 58793
5,-1,VFL London,14,6,5,3,22,:,13,9,23,7,3,2,2,12,:,9,3,11,7,3,3,1,10,:,4,6,12,,Season 58793
6,1,VFL Lisbon,14,6,3,5,13,:,11,2,21,7,3,2,2,7,:,6,1,11,7,3,1,3,6,:,5,1,10,,Season 58793
7,1,VFL Stockholm,14,6,3,5,15,:,14,1,21,7,4,1,2,7,:,5,2,13,7,2,2,3,8,:,9,-1,8,,Season 58793
8,0,VFL Oslo,14,5,5,4,14,:,14,0,20,7,3,3,1,10,:,7,3,12,7,2,2,3,4,:,7,-3,8,,Season 58793
9,0,VFL Paris,14,5,3,6,21,:,19,2,18,7,4,1,2,14,:,7,7,13,7,1,2,4,7,:,12,-5,5,,Season 58793
10,-1,VFL Berlin,14,5,2,7,11,:,16,-5,17,7,4,1,2,9,:,9,0,13,7,1,1,5,2,:,7,-5,4,,Season 58793
11,-1,VFL Edinburgh,14,5,1,8,10,:,17,-7,16,7,3,1,3,4,:,5,-1,10,7,2,0,5,6,:,12,-6,6,,Season 58793
12,1,VFL Athens,14,5,0,9,16,:,23,-7,15,7,4,0,3,11,:,9,2,12,7,1,0,6,5,:,14,-9,3,,Season 58793
13,1,VFL Ankara,14,3,4,7,12,:,18,-6,13,7,2,2,3,8,:,8,0,8,7,1,2,4,4,:,10,-6,5,,Season 58793
14,0,VFL Vienna,14,3,4,7,9,:,18,-9,13,7,3,2,2,8,:,7,1,11,7,0,2,5,1,:,11,-10,2,,Season 58793
15,0,VFL Copenhagen,14,4,0,10,10,:,22,-12,12,7,2,0,5,7,:,12,-5,6,7,2,0,5,3,:,10,-7,6,,Season 58793
16,0,VFL Bern,14,2,2,10,10,:,26,-16,8,7,2,2,3,5,:,7,-2,8,7,0,0,7,5,:,19,-14,0,,Season 58793
1,0,VFL Berlin,1,1,0,0,2,:,0,2,3,1,1,0,0,2,:,0,2,3,0,0,0,0,0,:,0,0,0,,Season 58794
1,0,VFL Copenhagen,1,1,0,0,2,:,0,2,3,1,1,0,0,2,:,0,2,3,0,0,0,0,0,:,0,0,0,,Season 58794
3,0,VFL Lisbon,1,1,0,0,3,:,2,1,3,0,0,0,0,0,:,0,0,0,1,1,0,0,3,:,2,1,3,,Season 58794
3,0,VFL Madrid,1,1,0,0,3,:,2,1,3,1,1,0,0,3,:,2,1,3,0,0,0,0,0,:,0,0,0,,Season 58794
3,0,VFL Stockholm,1,1,0,0,3,:,2,1,3,1,1,0,0,3,:,2,1,3,0,0,0,0,0,:,0,0,0,,Season 58794
6,0,VFL Edinburgh,1,1,0,0,1,:,0,1,3,1,1,0,0,1,:,0,1,3,0,0,0,0,0,:,0,0,0,,Season 58794
6,0,VFL Paris,1,1,0,0,1,:,0,1,3,0,0,0,0,0,:,0,0,0,1,1,0,0,1,:,0,1,3,,Season 58794
8,0,VFL Amsterdam,1,0,1,0,1,:,1,0,1,0,0,0,0,0,:,0,0,0,1,0,1,0,1,:,1,0,1,,Season 58794
8,0,VFL Bern,1,0,1,0,1,:,1,0,1,1,0,1,0,1,:,1,0,1,0,0,0,0,0,:,0,0,0,,Season 58794
10,0,VFL London,1,0,0,1,2,:,3,-1,0,1,0,0,1,2,:,3,-1,0,0,0,0,0,0,:,0,0,0,,Season 58794
10,0,VFL Oslo,1,0,0,1,2,:,3,-1,0,0,0,0,0,0,:,0,0,0,1,0,0,1,2,:,3,-1,0,,Season 58794
10,0,VFL Rome,1,0,0,1,2,:,3,-1,0,0,0,0,0,0,:,0,0,0,1,0,0,1,2,:,3,-1,0,,Season 58794
13,0,VFL Ankara,1,0,0,1,0,:,1,-1,0,1,0,0,1,0,:,1,-1,0,0,0,0,0,0,:,0,0,0,,Season 58794
13,0,VFL Brussels,1,0,0,1,0,:,1,-1,0,0,0,0,0,0,:,0,0,0,1,0,0,1,0,:,1,-1,0,,Season 58794
15,0,VFL Athens,1,0,0,1,0,:,2,-2,0,0,0,0,0,0,:,0,0,0,1,0,0,1,0,:,2,-2,0,,Season 58794
15,0,VFL Vienna,1,0,0,1,0,:,2,-2,0,0,0,0,0,0,:,0,0,0,1,0,0,1,0,:,2,-2,0,,Season 58794
1,-1,VFL Madrid,2,2,0,0,6,:,2,4,6,1,1,0,0,3,:,2,1,3,1,1,0,0,3,:,0,3,3,,Season 58794
2,-1,VFL Paris,2,2,0,0,5,:,1,4,6,1,1,0,0,4,:,1,3,3,1,1,0,0,1,:,0,1,3,,Season 58794
3,1,VFL Copenhagen,2,1,1,0,3,:,1,2,4,1,1,0,0,2,:,0,2,3,1,0,1,0,1,:,1,0,1,,Season 58794
4,1,VFL Lisbon,2,1,1,0,6,:,5,1,4,1,0,1,0,3,:,3,0,1,1,1,0,0,3,:,2,1,3,,Season 58794
4,1,VFL Stockholm,2,1,1,0,6,:,5,1,4,1,1,0,0,3,:,2,1,3,1,0,1,0,3,:,3,0,1,,Season 58794
6,-1,VFL Oslo,2,1,0,1,5,:,3,2,3,1,1,0,0,3,:,0,3,3,1,0,0,1,2,:,3,-1,0,,Season 58794
7,-1,VFL Rome,2,1,0,1,4,:,3,1,3,1,1,0,0,2,:,0,2,3,1,0,0,1,2,:,3,-1,0,,Season 58794
8,-1,VFL Brussels,2,1,0,1,2,:,1,1,3,1,1,0,0,2,:,0,2,3,1,0,0,1,0,:,1,-1,0,,Season 58794
9,1,VFL Berlin,2,1,0,1,3,:,4,-1,3,1,1,0,0,2,:,0,2,3,1,0,0,1,1,:,4,-3,0,,Season 58794
10,1,VFL Edinburgh,2,1,0,1,1,:,3,-2,3,1,1,0,0,1,:,0,1,3,1,0,0,1,0,:,3,-3,0,,Season 58794
11,1,VFL London,2,0,1,1,5,:,6,-1,1,1,0,0,1,2,:,3,-1,0,1,0,1,0,3,:,3,0,1,,Season 58794
12,-1,VFL Athens,2,0,1,1,3,:,5,-2,1,1,0,1,0,3,:,3,0,1,1,0,0,1,0,:,2,-2,0,,Season 58794
13,1,VFL Bern,2,0,1,1,1,:,3,-2,1,1,0,1,0,1,:,1,0,1,1,0,0,1,0,:,2,-2,0,,Season 58794
13,-1,VFL Vienna,2,0,1,1,1,:,3,-2,1,1,0,1,0,1,:,1,0,1,1,0,0,1,0,:,2,-2,0,,Season 58794
15,1,VFL Amsterdam,2,0,1,1,1,:,4,-3,1,1,0,0,1,0,:,3,-3,0,1,0,1,0,1,:,1,0,1,,Season 58794
16,1,VFL Ankara,2,0,0,2,0,:,3,-3,0,1,0,0,1,0,:,1,-1,0,1,0,0,1,0,:,2,-2,0,,Season 58794
1,-1,VFL Paris,3,2,1,0,7,:,3,4,7,1,1,0,0,4,:,1,3,3,2,1,1,0,3,:,2,1,4,,Season 58794
2,-1,VFL Lisbon,3,2,1,0,9,:,6,3,7,1,0,1,0,3,:,3,0,1,2,2,0,0,6,:,3,3,6,,Season 58794
3,-1,VFL Stockholm,3,2,1,0,8,:,6,2,7,2,2,0,0,5,:,3,2,6,1,0,1,0,3,:,3,0,1,,Season 58794
4,1,VFL Madrid,3,2,0,1,6,:,3,3,6,1,1,0,0,3,:,2,1,3,2,1,0,1,3,:,1,2,3,,Season 58794
4,-1,VFL Oslo,3,2,0,1,6,:,3,3,6,1,1,0,0,3,:,0,3,3,2,1,0,1,3,:,3,0,3,,Season 58794
6,-1,VFL Berlin,3,2,0,1,6,:,6,0,6,2,2,0,0,5,:,2,3,6,1,0,0,1,1,:,4,-3,0,,Season 58794
7,1,VFL Copenhagen,3,1,2,0,5,:,3,2,5,2,1,1,0,4,:,2,2,4,1,0,1,0,1,:,1,0,1,,Season 58794
8,0,VFL Brussels,3,1,1,1,2,:,1,1,4,2,1,1,0,2,:,0,2,4,1,0,0,1,0,:,1,-1,0,,Season 58794
9,-1,VFL London,3,1,1,1,7,:,7,0,4,2,1,0,1,4,:,4,0,3,1,0,1,0,3,:,3,0,1,,Season 58794
10,1,VFL Rome,3,1,0,2,6,:,6,0,3,1,1,0,0,2,:,0,2,3,2,0,0,2,4,:,6,-2,0,,Season 58794
11,-1,VFL Ankara,3,1,0,2,1,:,3,-2,3,2,1,0,1,1,:,1,0,3,1,0,0,1,0,:,2,-2,0,,Season 58794
12,1,VFL Edinburgh,3,1,0,2,2,:,6,-4,3,2,1,0,1,2,:,3,-1,3,1,0,0,1,0,:,3,-3,0,,Season 58794
13,-1,VFL Amsterdam,3,0,2,1,1,:,4,-3,2,1,0,0,1,0,:,3,-3,0,2,0,2,0,1,:,1,0,2,,Season 58794
14,1,VFL Athens,3,0,1,2,4,:,7,-3,1,1,0,1,0,3,:,3,0,1,2,0,0,2,1,:,4,-3,0,,Season 58794
15,1,VFL Vienna,3,0,1,2,2,:,5,-3,1,1,0,1,0,1,:,1,0,1,2,0,0,2,1,:,4,-3,0,,Season 58794
16,1,VFL Bern,3,0,1,2,1,:,4,-3,1,2,0,1,1,1,:,2,-1,1,1,0,0,1,0,:,2,-2,0,,Season 58794
1,-1,VFL Stockholm,4,3,1,0,13,:,6,7,10,2,2,0,0,5,:,3,2,6,2,1,1,0,8,:,3,5,4,,Season 58794
2,0,VFL Lisbon,4,3,1,0,13,:,7,6,10,2,1,1,0,7,:,4,3,4,2,2,0,0,6,:,3,3,6,,Season 58794
3,-1,VFL Oslo,4,3,0,1,7,:,3,4,9,2,2,0,0,4,:,0,4,6,2,1,0,1,3,:,3,0,3,,Season 58794
4,0,VFL Madrid,4,2,1,1,8,:,5,3,7,2,1,1,0,5,:,4,1,4,2,1,0,1,3,:,1,2,3,,Season 58794
4,1,VFL Paris,4,2,1,1,8,:,5,3,7,2,1,0,1,5,:,3,2,3,2,1,1,0,3,:,2,1,4,,Season 58794
6,-1,VFL London,4,2,1,1,9,:,8,1,7,2,1,0,1,4,:,4,0,3,2,1,1,0,5,:,4,1,4,,Season 58794
7,1,VFL Berlin,4,2,1,1,8,:,8,0,7,2,2,0,0,5,:,2,3,6,2,0,1,1,3,:,6,-3,1,,Season 58794
8,-1,VFL Rome,4,2,0,2,9,:,6,3,6,2,2,0,0,5,:,0,5,6,2,0,0,2,4,:,6,-2,0,,Season 58794
9,1,VFL Copenhagen,4,1,2,1,5,:,6,-1,5,2,1,1,0,4,:,2,2,4,2,0,1,1,1,:,4,-3,1,,Season 58794
